days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,pH,yield_kg_per_m2,variety_Beefsteak,variety_Cherry,variety_Heirloom,variety_Roma
72.0,26.1,23.8,27.4,79.3,684.0,31220.0,13.2,11.1,198.0,89.0,221.0,1.2,6.4,15.93,0,0,1,0
83.0,22.1,20.8,23.4,70.1,846.0,12260.0,10.0,8.0,187.0,59.0,168.0,1.6,7.5,14.37,1,0,0,0
66.0,26.4,25.0,28.1,80.7,662.0,19689.0,10.0,5.2,186.0,51.0,176.0,4.0,6.1,17.68,0,0,1,0
61.0,25.1,22.6,26.8,86.3,828.0,50632.0,16.0,8.8,154.0,95.0,190.0,0.8,7.1,16.9,0,1,0,0
65.0,22.1,20.8,24.5,65.3,1045.0,41872.0,12.0,5.8,163.0,65.0,183.0,1.7,5.5,21.58,0,1,0,0
65.0,28.3,27.2,29.5,82.7,686.0,28066.0,10.7,7.7,229.0,80.0,241.0,2.9,6.0,15.25,0,0,1,0
61.0,22.3,21.2,23.6,80.1,628.0,24649.0,10.0,9.1,245.0,60.0,239.0,1.3,6.3,9.03,0,0,0,1
81.0,26.5,23.7,29.2,65.6,1115.0,50271.0,15.9,5.5,164.0,67.0,247.0,2.5,6.5,22.37,0,1,0,0
84.0,24.7,21.6,26.3,87.7,996.0,22277.0,10.4,4.6,152.0,107.0,172.0,2.8,6.8,19.39,1,0,0,0
90.0,22.4,21.1,23.6,83.2,726.0,25862.0,10.0,3.3,175.0,90.0,196.0,2.2,5.9,14.11,0,1,0,0
71.0,23.5,20.8,25.4,72.5,727.0,28451.0,10.1,6.6,241.0,73.0,170.0,1.6,6.8,19.03,0,1,0,0
79.0,,,,,,,12.8,8.2,244.0,81.0,164.0,1.7,6.6,15.45,0,1,0,0
60.0,24.3,22.1,27.1,65.7,660.0,39014.0,15.9,4.2,225.0,86.0,172.0,1.3,6.7,23.43,0,0,1,0
60.0,27.3,25.3,28.7,66.2,535.0,49865.0,15.5,5.6,188.0,100.0,152.0,2.1,6.6,23.76,0,0,1,0
75.0,24.0,21.7,25.7,79.8,979.0,37052.0,14.5,9.7,211.0,108.0,152.0,5.6,6.8,12.73,0,0,1,0
72.0,27.9,26.3,30.3,69.0,1024.0,23242.0,10.0,8.5,151.0,50.0,206.0,0.5,7.0,8.63,1,0,0,0
80.0,25.4,24.2,27.3,74.6,826.0,34060.0,15.7,8.9,203.0,88.0,150.0,1.0,6.5,11.79,0,0,0,1
74.0,27.4,25.7,30.1,77.3,785.0,34665.0,16.0,10.0,191.0,96.0,232.0,1.6,6.2,12.93,0,1,0,0
63.0,25.3,23.7,27.9,56.4,682.0,20280.0,10.1,9.2,183.0,68.0,190.0,1.6,7.3,13.71,0,1,0,0
82.0,26.6,24.9,28.4,87.1,,41061.0,15.9,7.9,184.0,65.0,225.0,0.6,6.7,18.17,0,0,1,0
80.0,23.1,21.6,24.8,63.7,712.0,33383.0,14.8,5.8,224.0,114.0,191.0,,6.7,20.45,1,0,0,0
73.0,21.4,20.1,22.5,69.7,859.0,31441.0,15.8,5.7,173.0,63.0,225.0,2.9,,20.25,0,1,0,0
82.0,27.7,26.4,29.0,74.3,774.0,21385.0,10.0,5.6,241.0,66.0,235.0,0.2,6.3,19.84,0,1,0,0
84.0,24.5,22.2,25.8,68.2,791.0,23605.0,10.0,7.9,197.0,102.0,186.0,0.2,6.6,14.6,1,0,0,0
60.0,24.2,22.8,25.3,80.9,1015.0,23716.0,11.7,5.7,245.0,76.0,157.0,2.3,6.4,21.4,0,0,0,1
75.0,21.1,19.5,22.2,86.6,836.0,27746.0,11.7,4.2,164.0,53.0,152.0,1.9,,18.21,1,0,0,0
81.0,23.0,21.7,25.4,63.0,996.0,33900.0,14.6,7.2,217.0,79.0,242.0,1.5,7.3,16.26,0,1,0,0
74.0,,,,,,,13.8,10.4,247.0,58.0,238.0,1.4,7.0,15.18,0,1,0,0
89.0,,,,,,,11.4,8.3,169.0,109.0,226.0,0.1,7.0,15.16,1,0,0,0
85.0,26.1,23.4,28.3,70.9,1014.0,36363.0,14.0,6.5,195.0,98.0,152.0,3.9,6.0,18.62,0,1,0,0
65.0,26.2,25.1,27.4,77.8,1002.0,27992.0,10.0,9.9,223.0,95.0,195.0,0.0,6.1,13.47,0,1,0,0
82.0,24.9,22.9,26.9,68.2,987.0,36950.0,15.5,9.5,218.0,59.0,236.0,0.0,5.9,16.45,0,0,0,1
75.0,24.5,23.1,25.6,75.1,829.0,35602.0,16.0,7.2,226.0,89.0,186.0,0.2,5.3,20.72,0,1,0,0
76.0,25.9,24.6,27.1,74.2,913.0,32287.0,14.1,10.1,247.0,115.0,160.0,0.8,6.8,11.12,0,0,1,0
88.0,28.2,26.4,31.6,68.4,1030.0,33173.0,11.2,6.6,155.0,52.0,186.0,1.2,6.0,16.85,0,0,1,0
68.0,24.8,23.4,27.2,71.6,967.0,30343.0,12.5,7.0,237.0,85.0,238.0,1.6,6.9,18.73,0,1,0,0
69.0,23.4,21.5,25.7,80.1,938.0,31873.0,10.0,7.6,,,,5.2,6.9,14.97,1,0,0,0
86.0,22.4,19.9,23.5,67.6,879.0,14741.0,10.0,4.4,,,,2.6,6.3,16.96,0,0,1,0
62.0,21.3,18.8,23.2,70.9,827.0,17437.0,10.0,2.8,192.0,73.0,242.0,3.7,7.0,12.71,1,0,0,0
61.0,25.3,21.3,28.5,81.7,575.0,25973.0,10.0,10.0,223.0,90.0,216.0,0.4,6.0,13.72,0,1,0,0
77.0,26.4,24.3,27.7,71.5,935.0,23706.0,10.0,11.0,246.0,99.0,237.0,4.1,7.0,11.21,0,0,1,0
84.0,24.2,21.8,27.7,79.2,880.0,21176.0,10.0,5.8,236.0,109.0,215.0,0.4,6.6,19.29,0,1,0,0
77.0,24.0,21.3,26.7,63.1,748.0,32383.0,14.1,7.4,243.0,95.0,198.0,3.8,6.4,17.71,0,1,0,0
71.0,24.9,23.3,27.9,76.7,662.0,27004.0,10.0,9.8,189.0,87.0,173.0,1.3,6.3,12.01,0,0,0,1
80.0,22.6,21.1,24.1,70.3,716.0,22173.0,10.0,7.7,160.0,101.0,176.0,1.6,6.8,14.56,0,0,0,1
82.0,30.3,29.1,31.5,75.9,806.0,35383.0,12.7,6.5,212.0,81.0,189.0,1.3,6.4,17.4,0,0,0,1
66.0,,,,,,,12.8,8.7,192.0,62.0,159.0,3.1,6.5,14.62,0,0,1,0
81.0,25.6,23.1,28.0,74.2,789.0,35315.0,15.5,6.8,226.0,69.0,223.0,1.5,6.6,19.82,0,1,0,0
76.0,27.6,26.0,28.7,62.1,850.0,17464.0,10.0,9.9,,,,2.6,5.8,11.74,0,0,1,0
76.0,22.5,21.2,24.4,67.4,649.0,41831.0,16.0,8.5,192.0,61.0,211.0,3.0,7.0,12.48,0,0,0,1
69.0,22.4,20.9,23.1,75.1,623.0,31533.0,14.5,8.1,197.0,121.0,193.0,1.4,6.6,15.63,0,0,1,0
62.0,24.7,23.4,26.3,71.4,829.0,21367.0,12.0,9.1,164.0,109.0,165.0,1.0,6.7,9.81,0,0,0,1
67.0,24.8,23.5,26.3,82.0,532.0,31867.0,15.2,8.1,223.0,58.0,158.0,0.4,6.9,14.61,0,0,1,0
64.0,25.6,24.5,28.4,87.0,672.0,23996.0,15.7,6.3,158.0,55.0,232.0,0.0,6.6,19.26,0,0,1,0
68.0,22.2,20.5,23.2,81.7,871.0,30960.0,12.7,8.0,204.0,101.0,151.0,3.1,6.9,17.09,0,1,0,0
72.0,24.2,22.4,27.6,72.2,685.0,20519.0,10.0,7.6,248.0,62.0,183.0,1.2,6.8,14.55,1,0,0,0
63.0,23.3,21.5,24.5,90.5,837.0,22738.0,10.0,7.6,151.0,62.0,232.0,0.7,6.1,15.93,0,1,0,0
79.0,26.9,25.1,29.7,84.4,1137.0,48678.0,15.8,8.9,230.0,107.0,173.0,3.5,6.9,15.65,0,0,1,0
80.0,,,,,,,10.0,7.3,158.0,86.0,182.0,0.0,6.6,13.46,1,0,0,0
81.0,27.6,25.6,29.5,70.7,897.0,31777.0,14.2,7.7,198.0,84.0,232.0,2.1,7.0,14.98,0,1,0,0
66.0,28.6,27.0,30.9,77.1,781.0,17013.0,10.0,9.2,237.0,70.0,199.0,0.0,5.7,10.84,1,0,0,0
69.0,23.8,21.0,27.6,76.1,763.0,28129.0,10.9,8.5,227.0,66.0,248.0,5.4,7.0,10.66,0,0,0,1
87.0,23.5,20.9,25.2,90.4,545.0,22206.0,10.0,7.9,199.0,72.0,227.0,0.0,7.1,13.74,0,0,1,0
85.0,23.7,21.4,25.6,73.9,980.0,34040.0,13.5,7.8,247.0,53.0,221.0,1.0,7.1,20.67,0,1,0,0
67.0,25.9,24.0,27.5,80.8,1129.0,24531.0,12.5,7.1,227.0,109.0,162.0,3.4,7.0,16.34,0,0,1,0
82.0,26.7,25.0,28.9,64.0,953.0,37771.0,15.7,7.9,169.0,91.0,201.0,1.6,6.4,14.28,1,0,0,0
73.0,23.7,22.1,25.8,73.7,685.0,37915.0,15.6,6.0,193.0,74.0,212.0,1.8,6.2,19.91,1,0,0,0
68.0,,,,,,,10.0,6.2,,,,1.1,6.6,15.18,0,0,0,1
80.0,26.2,25.0,27.7,70.9,841.0,14869.0,10.0,7.4,154.0,105.0,184.0,2.9,7.1,12.92,0,0,0,1
61.0,23.4,21.7,25.3,78.5,674.0,40554.0,14.7,5.0,196.0,118.0,212.0,1.6,6.5,21.25,0,1,0,0
87.0,23.5,22.4,24.5,71.1,752.0,34195.0,14.8,9.4,245.0,103.0,219.0,0.6,6.9,18.19,0,1,0,0
75.0,25.2,22.1,28.7,70.4,838.0,31548.0,13.8,8.4,221.0,101.0,233.0,2.6,5.8,11.12,0,0,1,0
72.0,23.8,22.5,25.4,78.2,776.0,29679.0,14.1,4.1,245.0,94.0,227.0,1.0,6.1,21.07,1,0,0,0
65.0,24.6,22.6,26.1,73.1,850.0,31750.0,15.8,6.6,194.0,91.0,162.0,0.6,6.2,21.22,0,1,0,0
70.0,25.9,23.9,27.9,68.8,874.0,32292.0,15.4,9.9,152.0,72.0,170.0,3.1,6.3,13.62,0,1,0,0
64.0,28.0,26.5,30.6,83.5,1094.0,22514.0,10.5,8.0,230.0,80.0,202.0,1.0,6.2,14.86,0,0,1,0
71.0,23.8,22.7,25.0,76.2,759.0,45331.0,15.7,9.4,164.0,108.0,163.0,0.0,6.7,14.77,0,1,0,0
78.0,25.2,22.5,26.8,67.6,909.0,13385.0,10.0,10.7,243.0,99.0,226.0,2.8,6.3,12.44,1,0,0,0
77.0,23.4,21.2,26.2,75.9,822.0,36941.0,10.7,5.1,194.0,67.0,178.0,4.3,7.0,18.38,0,1,0,0
85.0,27.3,25.3,30.1,72.4,939.0,24908.0,10.0,9.2,204.0,72.0,209.0,0.7,7.0,10.59,0,0,1,0
83.0,23.4,21.8,24.5,82.5,803.0,40262.0,15.3,9.4,185.0,109.0,186.0,0.7,6.3,16.7,1,0,0,0
84.0,24.8,23.0,26.2,75.3,795.0,41076.0,14.9,9.3,,,,0.7,6.6,16.39,0,0,0,1
78.0,25.6,22.6,27.9,71.8,977.0,40722.0,14.6,8.4,154.0,114.0,166.0,2.3,6.3,16.43,0,0,1,0
68.0,23.9,22.5,25.1,76.3,876.0,30571.0,13.0,7.0,180.0,74.0,215.0,0.7,6.1,16.37,1,0,0,0
88.0,28.2,26.7,29.5,69.6,576.0,21989.0,10.0,6.0,153.0,81.0,250.0,1.3,6.1,16.15,0,1,0,0
89.0,23.3,21.3,24.4,85.0,890.0,20498.0,10.0,5.4,170.0,103.0,205.0,1.7,5.9,18.41,1,0,0,0
71.0,23.6,21.1,24.7,79.3,700.0,48413.0,15.9,7.4,165.0,78.0,240.0,0.6,7.0,17.35,1,0,0,0
79.0,22.4,21.0,23.5,66.2,1046.0,36990.0,16.0,7.7,249.0,103.0,166.0,3.2,6.1,17.04,0,0,0,1
83.0,26.0,23.8,27.1,86.3,890.0,26436.0,10.6,6.9,239.0,67.0,163.0,3.2,6.3,16.3,0,0,1,0
76.0,25.1,23.2,26.2,69.5,1075.0,26117.0,10.0,6.1,,,,1.2,6.4,19.67,1,0,0,0
77.0,27.0,25.9,28.4,65.8,779.0,36050.0,16.0,6.1,250.0,110.0,235.0,2.8,6.6,16.13,1,0,0,0
72.0,25.4,24.1,26.5,72.5,632.0,18817.0,10.0,9.8,237.0,63.0,209.0,0.0,6.2,14.83,0,0,1,0
87.0,26.2,25.1,27.6,75.9,666.0,31908.0,13.3,8.9,167.0,115.0,250.0,2.7,7.1,15.22,0,0,1,0
85.0,27.4,25.4,30.2,74.0,563.0,17712.0,10.0,10.8,214.0,107.0,242.0,4.1,6.7,9.04,0,1,0,0
68.0,27.2,26.0,28.7,70.1,894.0,29744.0,12.4,8.3,214.0,70.0,161.0,,6.3,12.23,0,0,0,1
88.0,23.6,20.5,24.9,78.8,451.0,36906.0,15.7,6.8,165.0,79.0,241.0,1.0,6.2,21.61,1,0,0,0
85.0,26.6,24.5,28.6,76.2,1051.0,29060.0,10.0,5.3,184.0,108.0,211.0,5.2,6.6,18.09,1,0,0,0
70.0,19.7,17.5,21.3,79.4,680.0,35900.0,11.9,4.6,,,,1.7,6.4,20.77,0,0,1,0
66.0,29.5,27.7,30.7,82.6,924.0,38883.0,15.0,9.4,160.0,92.0,170.0,3.7,6.6,11.04,1,0,0,0
83.0,23.4,20.0,25.7,72.1,801.0,32471.0,10.0,9.0,,,,0.0,6.8,14.87,0,0,0,1
64.0,22.0,19.8,23.2,63.5,470.0,29750.0,11.9,6.1,247.0,67.0,152.0,3.3,6.4,21.83,0,0,1,0
76.0,27.7,24.6,31.1,64.4,602.0,29522.0,14.1,6.4,157.0,94.0,207.0,0.2,6.2,18.27,0,1,0,0
85.0,24.0,22.1,25.1,81.6,840.0,19822.0,10.0,8.1,204.0,107.0,215.0,4.6,7.2,9.07,1,0,0,0
75.0,26.3,25.1,27.7,74.9,784.0,38871.0,15.5,8.5,240.0,53.0,216.0,0.0,6.7,18.22,1,0,0,0
76.0,23.5,21.7,25.2,67.2,829.0,34634.0,14.2,8.8,182.0,104.0,194.0,2.5,6.1,15.89,1,0,0,0
84.0,22.0,20.7,23.6,75.5,1104.0,40285.0,14.1,7.0,248.0,77.0,166.0,1.1,5.9,17.63,0,0,0,1
82.0,26.8,23.8,28.4,67.1,793.0,21295.0,10.0,8.5,213.0,105.0,205.0,,6.3,12.88,1,0,0,0
71.0,25.9,24.3,27.3,91.1,857.0,29497.0,10.0,6.0,171.0,70.0,215.0,3.1,7.2,20.65,0,0,0,1
79.0,24.7,21.3,26.5,82.6,796.0,36915.0,10.0,9.0,248.0,109.0,168.0,4.0,5.9,11.01,1,0,0,0
81.0,25.6,23.0,27.9,75.1,644.0,31641.0,14.3,6.0,240.0,84.0,239.0,5.0,7.1,19.51,0,1,0,0
88.0,26.0,24.5,28.0,63.6,606.0,40555.0,15.9,10.1,157.0,65.0,165.0,0.3,6.6,12.67,0,1,0,0
67.0,25.9,24.1,28.3,65.7,645.0,34410.0,15.4,7.4,179.0,118.0,166.0,0.5,6.9,21.04,0,1,0,0
60.0,23.1,21.8,24.8,71.4,864.0,28168.0,10.0,7.2,237.0,69.0,175.0,5.3,7.2,16.39,1,0,0,0
76.0,22.9,21.6,26.2,56.2,882.0,47854.0,15.8,8.4,215.0,105.0,199.0,2.8,6.2,17.52,0,0,1,0
67.0,24.2,23.0,26.1,83.9,808.0,22870.0,10.0,9.4,194.0,113.0,154.0,2.9,6.9,7.11,0,1,0,0
74.0,25.8,23.6,28.4,88.4,661.0,26723.0,14.5,9.1,201.0,81.0,173.0,1.6,6.1,9.68,1,0,0,0
76.0,25.5,24.1,27.2,80.8,1049.0,15881.0,10.0,9.2,160.0,85.0,163.0,2.3,7.3,13.23,0,1,0,0
65.0,24.3,22.7,26.9,89.8,587.0,30073.0,11.4,7.0,232.0,55.0,244.0,2.3,5.7,18.28,1,0,0,0
82.0,,,,,,,16.0,7.0,210.0,101.0,204.0,2.1,7.1,17.28,1,0,0,0
64.0,19.1,18.0,20.4,66.8,793.0,23505.0,10.0,4.2,213.0,75.0,152.0,1.0,6.8,14.24,1,0,0,0
70.0,24.1,22.2,26.1,81.3,743.0,24222.0,10.0,7.8,156.0,84.0,208.0,1.5,5.7,12.73,1,0,0,0
70.0,28.0,25.2,30.1,77.4,769.0,39978.0,15.9,11.6,220.0,111.0,244.0,1.9,6.2,15.48,1,0,0,0
75.0,27.9,26.8,29.6,78.0,765.0,34325.0,15.4,8.5,172.0,66.0,234.0,2.7,6.2,10.85,1,0,0,0
70.0,25.9,24.6,27.0,66.5,886.0,40183.0,15.5,8.6,222.0,109.0,206.0,0.6,6.8,11.99,0,0,1,0
65.0,23.4,22.4,24.5,74.7,781.0,41701.0,14.9,5.9,182.0,83.0,226.0,2.0,6.0,20.02,0,0,1,0
82.0,21.7,20.1,22.9,67.5,863.0,43226.0,15.8,5.9,245.0,108.0,203.0,0.2,6.4,24.86,0,0,1,0
69.0,25.7,23.3,28.3,80.7,571.0,20318.0,10.0,9.0,239.0,101.0,211.0,,5.3,7.9,0,0,0,1
62.0,25.1,23.4,26.2,71.2,740.0,23825.0,10.0,8.5,232.0,107.0,223.0,1.0,6.8,16.02,0,0,0,1
79.0,25.9,24.2,27.2,88.4,1175.0,21159.0,10.0,6.9,194.0,77.0,217.0,1.3,6.4,15.75,0,1,0,0
61.0,28.0,26.4,29.1,73.9,890.0,30518.0,10.0,7.4,176.0,65.0,167.0,1.0,7.1,13.07,0,0,0,1
77.0,24.0,21.1,25.5,77.2,770.0,35059.0,15.8,4.8,212.0,55.0,193.0,3.1,6.7,19.54,0,0,1,0
67.0,22.3,20.5,23.8,78.2,869.0,37860.0,14.4,4.3,195.0,52.0,198.0,1.6,7.0,21.28,0,0,1,0
71.0,24.7,23.6,26.3,89.2,1137.0,33200.0,12.4,5.3,210.0,115.0,185.0,1.0,7.0,25.55,0,1,0,0
86.0,27.0,25.5,29.2,79.7,905.0,13469.0,10.0,5.7,152.0,110.0,183.0,0.2,6.7,17.17,1,0,0,0
72.0,28.1,25.8,30.8,92.0,919.0,34112.0,13.7,10.3,209.0,105.0,186.0,1.6,6.0,13.06,0,0,1,0
85.0,28.0,24.5,30.5,77.5,1037.0,33193.0,14.2,11.4,193.0,91.0,191.0,0.0,6.8,13.64,0,0,0,1
90.0,27.8,24.6,28.8,84.9,901.0,43780.0,13.0,9.2,,,,3.5,6.8,11.34,1,0,0,0
75.0,24.1,22.7,25.5,78.5,987.0,28413.0,10.0,9.4,200.0,73.0,222.0,2.3,5.9,10.57,0,1,0,0
60.0,22.9,19.6,25.8,67.6,821.0,32405.0,11.5,6.9,152.0,116.0,165.0,2.7,6.8,13.1,0,0,0,1
88.0,23.5,22.5,24.8,74.7,660.0,19345.0,10.0,8.1,178.0,65.0,156.0,2.7,6.0,12.85,1,0,0,0
82.0,26.0,24.7,27.3,70.1,848.0,23355.0,10.0,8.9,236.0,85.0,189.0,2.7,6.4,10.35,1,0,0,0
81.0,24.5,22.4,26.8,79.9,952.0,15542.0,10.0,10.3,173.0,67.0,198.0,1.7,6.6,7.73,0,0,1,0
79.0,26.3,25.2,27.5,67.4,1029.0,26186.0,10.5,7.8,240.0,62.0,234.0,1.8,6.4,17.71,1,0,0,0
68.0,24.0,22.8,26.6,83.9,779.0,33958.0,12.0,8.8,241.0,114.0,185.0,1.5,7.5,13.82,1,0,0,0
65.0,24.8,23.3,26.1,62.2,570.0,40419.0,14.8,8.6,164.0,99.0,197.0,3.9,,17.04,0,0,0,1
72.0,24.0,22.4,26.2,65.8,939.0,35156.0,14.0,6.0,198.0,104.0,175.0,1.9,6.8,25.55,0,0,1,0
77.0,27.2,23.5,30.3,72.0,731.0,39257.0,15.6,6.3,177.0,90.0,243.0,0.7,6.9,22.54,0,1,0,0
64.0,26.4,25.2,27.6,86.6,769.0,56075.0,15.8,5.6,187.0,61.0,192.0,1.6,5.6,24.62,1,0,0,0
84.0,22.3,21.1,24.0,91.5,559.0,46636.0,15.7,9.9,206.0,66.0,152.0,0.6,5.8,15.98,0,0,1,0
74.0,23.0,21.5,26.1,68.3,,32633.0,13.3,7.8,192.0,82.0,162.0,1.2,5.4,20.41,0,1,0,0
74.0,24.1,20.7,26.7,70.6,917.0,35052.0,10.8,9.3,242.0,114.0,200.0,0.0,6.7,18.02,0,0,1,0
84.0,25.6,24.5,27.8,75.3,884.0,31503.0,11.4,5.4,225.0,87.0,215.0,0.9,,25.39,0,0,0,1
81.0,26.6,23.0,28.5,55.1,982.0,22810.0,10.0,6.6,196.0,114.0,191.0,0.4,6.9,15.29,0,0,0,1
62.0,23.7,21.2,26.5,87.9,843.0,20836.0,10.0,7.3,153.0,106.0,216.0,2.3,6.2,16.64,0,0,1,0
68.0,23.7,22.2,25.1,77.9,756.0,34236.0,12.4,9.9,249.0,108.0,162.0,2.0,6.3,14.92,0,0,1,0
66.0,27.1,25.7,28.8,73.6,974.0,28943.0,14.8,7.2,241.0,77.0,176.0,5.0,6.8,14.88,0,0,1,0
78.0,27.7,25.9,29.0,77.2,903.0,27135.0,12.9,7.0,226.0,120.0,155.0,1.6,6.7,17.06,0,0,0,1
62.0,23.9,21.4,26.3,74.0,926.0,42072.0,14.8,5.4,158.0,87.0,194.0,1.8,6.5,23.33,0,0,0,1
60.0,26.2,24.8,28.0,61.4,812.0,24648.0,11.5,9.2,245.0,67.0,184.0,3.3,6.8,14.73,0,1,0,0
65.0,27.3,25.7,28.3,78.6,787.0,29780.0,16.0,5.8,243.0,73.0,202.0,1.4,6.6,25.2,0,0,0,1
72.0,28.5,26.5,30.1,72.0,790.0,34831.0,10.0,8.1,,,,0.0,6.6,14.41,1,0,0,0
64.0,25.8,24.7,26.9,73.0,859.0,39133.0,15.3,9.6,245.0,58.0,153.0,3.7,7.2,17.01,0,1,0,0
67.0,23.3,21.6,25.8,69.7,795.0,35955.0,14.4,7.4,171.0,70.0,235.0,4.3,6.1,14.76,0,1,0,0
64.0,28.8,27.3,30.3,70.0,762.0,29383.0,10.4,11.8,166.0,69.0,160.0,3.8,7.0,8.82,0,0,1,0
81.0,,,,,,,12.9,10.5,,,,2.0,7.2,17.92,0,0,0,1
66.0,24.8,23.7,26.3,84.0,626.0,36286.0,13.5,10.1,193.0,114.0,153.0,0.0,,16.29,0,0,0,1
76.0,25.1,23.5,27.3,86.1,846.0,24624.0,10.0,6.0,175.0,91.0,218.0,2.7,5.9,16.48,0,0,0,1
62.0,25.5,23.6,27.4,67.8,632.0,22765.0,10.0,5.9,222.0,117.0,172.0,0.6,6.3,25.35,0,0,1,0
75.0,24.1,22.5,25.5,59.8,719.0,12013.0,10.0,7.5,,,,3.8,5.9,16.01,0,0,0,1
77.0,23.2,21.5,24.3,75.5,896.0,47232.0,14.7,7.3,201.0,50.0,176.0,0.5,8.0,21.14,0,1,0,0
69.0,21.5,20.2,23.1,69.6,841.0,22319.0,10.0,4.8,,,,4.0,6.6,13.52,0,0,1,0
89.0,24.3,22.0,25.4,78.5,799.0,28203.0,12.1,6.7,229.0,110.0,152.0,3.5,6.0,16.8,0,0,0,1
77.0,25.4,23.7,26.5,72.2,902.0,41627.0,15.9,8.0,161.0,79.0,239.0,0.7,7.2,16.06,0,0,1,0
75.0,26.2,23.9,27.3,72.6,700.0,24491.0,10.8,4.7,178.0,99.0,180.0,2.2,6.3,21.84,0,0,1,0
72.0,23.0,20.8,24.5,80.6,572.0,31552.0,10.0,7.7,230.0,102.0,229.0,2.7,5.7,13.83,1,0,0,0
89.0,26.0,24.4,28.0,71.3,896.0,22483.0,10.0,10.4,173.0,100.0,229.0,0.7,7.5,15.8,1,0,0,0
80.0,27.1,24.2,28.7,71.3,953.0,35109.0,15.0,7.6,198.0,68.0,183.0,0.3,6.8,18.27,0,0,1,0
80.0,27.4,26.2,29.6,72.9,842.0,21524.0,10.9,11.2,218.0,107.0,162.0,2.2,6.3,7.8,0,0,0,1
75.0,22.2,19.7,25.1,70.2,770.0,31046.0,15.1,5.7,208.0,88.0,221.0,0.2,,15.72,0,1,0,0
62.0,24.9,22.1,26.3,76.2,849.0,41926.0,15.9,5.3,195.0,87.0,235.0,4.4,6.6,18.42,0,0,0,1
90.0,22.6,20.8,24.8,67.7,889.0,32783.0,15.3,7.1,169.0,89.0,224.0,2.5,7.2,17.8,0,0,0,1
70.0,24.6,23.0,27.2,77.1,584.0,14615.0,10.0,5.5,,,,0.9,7.1,16.79,0,0,0,1
84.0,28.7,26.8,31.9,81.7,685.0,27058.0,10.0,5.4,196.0,74.0,198.0,1.1,6.4,22.03,0,0,0,1
70.0,23.2,20.8,25.6,85.5,925.0,38230.0,13.3,7.8,225.0,96.0,169.0,5.0,6.8,15.75,0,0,0,1
90.0,26.5,24.4,28.1,68.0,922.0,24273.0,10.0,5.0,155.0,95.0,227.0,2.0,6.3,14.6,0,0,0,1
67.0,25.4,24.0,28.4,76.4,702.0,34015.0,12.6,7.3,214.0,95.0,174.0,2.0,6.2,17.06,0,0,1,0
69.0,23.7,22.6,25.0,75.9,1189.0,30625.0,11.4,5.8,226.0,107.0,217.0,1.9,,24.11,0,1,0,0
70.0,24.6,23.4,26.1,71.0,978.0,37293.0,15.6,7.9,243.0,61.0,221.0,0.3,7.5,20.42,1,0,0,0
62.0,23.5,22.4,24.7,73.5,992.0,14339.0,10.0,7.0,179.0,92.0,175.0,1.9,6.7,12.83,1,0,0,0
87.0,23.5,22.0,25.2,81.5,643.0,36083.0,15.5,4.2,242.0,54.0,156.0,5.6,7.0,19.05,0,1,0,0
69.0,24.6,22.6,27.6,79.7,812.0,31961.0,11.1,6.4,222.0,72.0,190.0,2.6,5.9,18.57,0,1,0,0
80.0,24.3,22.0,26.6,65.3,908.0,25781.0,11.3,6.7,229.0,78.0,192.0,1.2,6.7,22.24,0,0,1,0
77.0,24.7,23.2,26.3,78.3,685.0,10719.0,10.0,8.0,229.0,83.0,182.0,0.9,7.2,15.54,0,1,0,0
81.0,24.1,22.8,25.6,82.6,1005.0,40550.0,14.6,7.9,177.0,83.0,217.0,0.0,5.9,14.48,1,0,0,0
72.0,25.7,24.0,29.0,93.9,846.0,33442.0,10.6,7.3,249.0,88.0,177.0,2.5,6.7,14.36,0,0,1,0
72.0,25.7,23.1,28.9,76.8,694.0,38819.0,13.8,7.0,187.0,62.0,244.0,4.9,7.1,17.51,0,0,1,0
83.0,25.7,24.7,26.7,77.3,970.0,24046.0,10.0,7.3,249.0,79.0,189.0,0.5,7.4,17.59,0,0,0,1
89.0,22.8,21.6,26.2,89.2,788.0,22750.0,10.2,3.5,237.0,99.0,227.0,2.8,6.7,18.01,1,0,0,0
88.0,24.2,22.9,26.7,69.3,956.0,30732.0,12.0,7.2,,,,1.5,6.2,17.93,1,0,0,0
66.0,27.5,25.7,29.0,66.0,638.0,31086.0,15.0,10.9,191.0,74.0,161.0,3.0,7.5,10.85,0,1,0,0
90.0,23.9,21.2,25.5,69.4,610.0,23246.0,10.0,6.5,221.0,67.0,242.0,1.5,6.1,19.88,0,0,1,0
75.0,25.8,23.5,28.3,79.2,1009.0,25400.0,15.6,6.5,188.0,51.0,232.0,2.0,6.5,16.23,0,0,1,0
62.0,22.3,20.9,23.6,63.1,821.0,30005.0,10.1,8.0,244.0,77.0,160.0,1.9,5.9,15.42,0,1,0,0
73.0,27.3,25.1,28.6,71.2,902.0,22146.0,10.0,7.4,248.0,70.0,157.0,2.1,7.0,13.85,0,0,1,0
